날짜,종가,시가,고가,저가,거래량,변동 %
2023.5.11,"16,680","16,770","16,845","16,630",2.45K,-0.54%
2023.5.10,"16,770","16,795","16,930","16,720",1.64K,-0.59%
2023.5.9,"16,870","16,975","16,975","16,750",2.56K,-1.29%
2023.5.8,"17,090","17,260","17,260","17,050",2.92K,0.47%
2023.5.4,"17,010","17,175","17,175","16,905",0.75K,-0.96%
2023.5.3,"17,175","17,270","17,270","17,060",3.80K,-0.58%
2023.5.2,"17,275","17,335","17,335","17,135",15.38K,0.93%
2023.4.28,"17,115","17,320","17,330","17,045",16.52K,-0.26%
2023.4.27,"17,160","16,880","17,170","16,860",9.50K,0.18%
2023.4.26,"17,130","16,980","17,280","16,980",11.55K,0.59%
2023.4.25,"17,030","17,410","17,475","16,885",7.68K,-2.27%
2023.4.24,"17,425","17,680","17,680","17,365",6.03K,-1.44%
2023.4.21,"17,680","17,660","17,845","17,640",237.25K,-0.11%
2023.4.20,"17,700","17,890","17,890","17,680",1.29K,-1.37%
2023.4.19,"17,945","18,030","18,030","17,900",8.11K,-0.28%
2023.4.18,"17,995","17,950","18,080","17,895",8.02K,0.25%
2023.4.17,"17,950","18,085","18,140","17,880",78.28K,-0.77%
2023.4.14,"18,090","18,160","18,200","17,900",17.08K,0.53%
2023.4.13,"17,995","17,985","18,025","17,870",13.82K,-0.11%
2023.4.12,"18,015","18,165","18,200","17,915",5.55K,-1.04%
2023.4.11,"18,205","18,085","18,295","17,990",25.24K,0.64%
2023.4.10,"18,090","17,965","18,140","17,960",11.60K,0.81%
2023.4.7,"17,945","17,685","17,950","17,685",21.10K,2.19%
2023.4.6,"17,560","17,715","17,715","17,500",1.81K,-1.68%
2023.4.5,"17,860","17,475","17,965","17,475",10.60K,2.20%
2023.4.4,"17,475","17,815","17,845","17,460",5.78K,-1.91%
2023.4.3,"17,815","17,945","17,945","17,730",10.17K,0.34%
2023.3.31,"17,755","17,700","17,755","17,640",8.58K,0.91%
2023.3.30,"17,595","17,670","17,695","17,545",4.99K,0.89%
2023.3.29,"17,440","17,255","17,450","17,255",12.97K,0.32%
2023.3.28,"17,385","17,180","17,385","17,180",2.33K,1.10%
2023.3.27,"17,195","17,145","17,285","17,095",3.29K,0.58%
2023.3.24,"17,095","17,145","17,145","16,960",1.62K,0.44%
2023.3.23,"17,020","16,730","17,080","16,690",3.11K,0.89%
2023.3.22,"16,870","16,605","16,880","16,605",4.75K,2.15%
2023.3.21,"16,515","16,530","16,665","16,460",0.43K,0.09%
2023.3.20,"16,500","16,480","16,610","16,470",2.78K,-0.60%
2023.3.17,"16,600","16,545","16,665","16,450",4.76K,1.28%
2023.3.16,"16,390","16,055","16,425","16,055",4.76K,1.20%
2023.3.15,"16,195","16,340","16,445","16,150",4.18K,0.28%
2023.3.14,"16,150","16,390","16,390","16,150",6.33K,-3.24%
2023.3.13,"16,690","16,555","16,690","16,325",4.31K,0.79%
2023.3.10,"16,560","16,585","16,640","16,465",1.58K,-1.43%
2023.3.9,"16,800","17,005","17,025","16,730",1.88K,-1.18%
2023.3.8,"17,000","17,220","17,220","17,000",6.18K,-2.16%
2023.3.7,"17,375","17,450","17,450","17,235",39.09K,-0.43%
2023.3.6,"17,450","17,010","17,450","16,985",8.33K,3.68%
2023.3.3,"16,830","16,685","16,900","16,685",2.36K,0.72%
2023.3.2,"16,710","16,685","16,870","16,605",25.56K,0.00%
2023.2.28,"16,710","16,650","16,880","16,650",0.90K,1.18%
2023.2.27,"16,515","16,480","16,560","16,395",4.81K,-1.14%
2023.2.24,"16,705","16,970","16,970","16,640",1.19K,-0.60%
2023.2.23,"16,805","16,600","16,885","16,600",5.12K,1.08%
2023.2.22,"16,625","16,640","16,740","16,595",1.25K,-1.98%
2023.2.21,"16,960","16,945","17,005","16,880",6.62K,0.03%
2023.2.20,"16,955","16,835","17,040","16,660",30.37K,0.06%
2023.2.17,"16,945","17,055","17,155","16,925",5.12K,-2.17%
2023.2.16,"17,320","17,000","17,325","17,000",21.79K,2.30%
2023.2.15,"16,930","17,195","17,220","16,900",8.24K,-1.43%
2023.2.14,"17,175","17,070","17,230","17,065",5.74K,1.78%
2023.2.13,"16,875","16,955","16,975","16,805",1.28K,-1.06%
2023.2.10,"17,055","17,085","17,170","17,025",13.50K,-0.73%
2023.2.9,"17,180","17,200","17,210","17,045",4.60K,-0.12%
2023.2.8,"17,200","16,950","17,200","16,950",30.49K,2.41%
2023.2.7,"16,795","16,600","16,830","16,600",1.75K,1.30%
2023.2.6,"16,580","16,810","16,810","16,580",0.92K,-1.86%
2023.2.3,"16,895","16,940","16,970","16,800",2.57K,-0.53%
2023.2.2,"16,985","16,925","17,035","16,860",3.97K,1.89%
2023.2.1,"16,670","16,560","16,670","16,490",31.35K,2.05%
2023.1.31,"16,335","16,505","16,535","16,250",3.81K,-1.03%
2023.1.30,"16,505","16,790","16,790","16,500",6.82K,-1.70%
2023.1.27,"16,790","16,680","16,825","16,645",1.84K,0.96%
2023.1.26,"16,630","16,365","16,630","16,320",1.06K,1.62%
2023.1.25,"16,365","16,150","16,375","16,150",3.37K,3.81%
2023.1.20,"15,765","15,775","15,845","15,675",4.17K,0.70%
2023.1.19,"15,655","15,565","15,655","15,495",3.68K,0.68%
2023.1.18,"15,550","15,580","15,590","15,500",4.43K,-0.99%
2023.1.17,"15,705","15,765","15,810","15,620",4.45K,-0.48%
2023.1.16,"15,780","15,790","15,890","15,780",0.86K,-0.06%
2023.1.13,"15,790","15,860","15,925","15,765",6.96K,-0.16%
2023.1.12,"15,815","15,850","15,850","15,660",1.79K,0.09%
2023.1.11,"15,800","15,800","15,890","15,680",7.63K,0.89%
2023.1.10,"15,660","15,635","15,795","15,570",3.49K,0.55%
2023.1.9,"15,575","15,440","15,575","15,420",1.08K,2.47%
2023.1.6,"15,200","14,975","15,260","14,960",1.98K,1.50%
